entity,field,required,description,rule
pattern,id,yes,稳定纹样实体UUID,不得使用数组序号
pattern,canonical_name,yes,审核后的规范名称,名称未知时先留候选记录不得发布
pattern,origin_claim,yes,传统当代AI生成混合或待核验,默认unknown
pattern,status,yes,数据审核状态,默认draft
pattern,visibility,yes,可见范围,版权未核验默认private
asset,object_key,yes,对象存储稳定键,不可由可变标题直接生成
asset,sha256,yes,文件内容哈希,小写64位十六进制
asset,perceptual_hash,no,视觉近重复哈希,只作人工合并候选不可自动删除
asset,source_record_id,no,来源记录,公开前必须补齐
asset,role,yes,源图裁片缩略图矢量参考图或生成图,默认source
source_record,source_type,yes,田野合作方书籍网页档案生成或未知,网页必须记录URL和抓取时间
rights_record,legal_basis,yes,授权或权利基础,默认unverified
rights_record,allow_display,yes,是否允许公开展示,默认false
rights_record,allow_download,yes,是否允许下载,默认false
rights_record,allow_commercial,yes,是否允许商用,默认false
rights_record,allow_ai_training,yes,是否允许AI训练,默认false
rights_record,allow_derivatives,yes,是否允许制作衍生品,默认false
legacy_mapping,legacy_id,yes,旧站或旧包内稳定定位符,须和source_system联合唯一
model_annotation,split,no,训练验证测试或保留集,同源或近重复图不得跨切分
