scheme,code,label,parent_code,definition
ethnicity,zang,藏族,,民族归属须经来源或专家确认
ethnicity,qiang,羌族,,民族归属须经来源或专家确认
ethnicity,unknown,待考,,不得依据视觉外观猜测民族
motif,plant,植物,,植物与花卉母题
motif,animal,动物,,动物与灵兽母题
motif,nature,自然天象,,山水云日月星辰等
motif,geometry,几何,,几何构成母题
motif,symbol,文字符号,,文字与吉祥符号
motif,object_religious,器物宗教,,器物或宗教相关母题
motif,composite,复合,,包含多个主要母题
composition,unit,单独纹样,,独立单元
composition,suitable,适合纹样,,适配特定外形
composition,continuous,连续纹样,,二方或四方连续
composition,corner,角隅纹样,,边角构图
composition,medallion,团花,,中心式团形构图
origin,traditional,传统,,有可信传统来源证据
origin,contemporary,当代原创,,当代作者原创
origin,generated,AI生成,,由生成模型产生
origin,mixed,混合衍生,,传统素材与当代或AI共同衍生
origin,unknown,待核验,,来源性质尚未确认
sensitivity,normal,一般,,无已知限制
sensitivity,restricted,限制使用,,存在场景或组合禁忌
sensitivity,unknown,待审核,,尚未完成文化审核
